"dataset","representation","gene","mean","sd","p25","median","p75"
"GSE78220","samplewise_z","DENND2A",0.0609362065627069,0.63126823670803,-0.34230553463409,-0.173196823107336,0.502208396872094
"GSE78220","samplewise_z","FCRL1",-0.754371093621135,0.30424228186214,-0.844408223152034,-0.803488634953923,-0.741527939996263
"GSE78220","samplewise_z","FCRL2",-0.671609588757544,0.332450930353148,-0.827700811576268,-0.793257021427807,-0.65640907987103
"GSE78220","samplewise_z","MS4A1",-0.29759976550409,0.799273480127186,-0.747556257860247,-0.587068183343486,-0.275819438682455
"GSE78220","samplewise_z","PLCG2",0.194915294920856,0.453588889198045,-0.122591319121936,0.0701436032713367,0.661777249001504
"GSE78220","samplewise_z","RASL10B",-0.215204501492377,0.783569554034782,-0.709927836707919,-0.614742626862155,0.299681384661183
"GSE78220","samplewise_z","SCARF2",1.94728849187407,0.694539613752024,1.64377431261051,2.07855127454797,2.4044221587571
"GSE78220","samplewise_z","SDR42E1",-0.629741598639162,0.663845333297571,-0.825086872872675,-0.769922175723059,-0.693918117724956
"GSE78220","samplewise_z","TICRR",-0.0815152644333785,0.354837349171076,-0.340820634506459,0.0426401250332801,0.174569095521519
"GSE78220","samplewise_z","TLR1",0.877040603088888,0.896301825609614,0.0351341323289396,0.908955398443445,1.59697391062508
"GSE78220","samplewise_z","TRIM71",-0.809489772559699,0.231732122718386,-0.869461170518076,-0.789432751426342,-0.733130420160096
"GSE78220","samplewise_z","VARS2",0.379350988560866,0.478468597988514,0.101012558251963,0.323252066323822,0.482631230822844
