"outer_fold","rank","gene"
5,77,"ARHGAP18"
5,78,"IKZF1"
5,79,"SLAMF1"
5,80,"MIAT"
5,81,"KLHL6"
5,82,"LCP1"
5,83,"CD27"
5,84,"DTHD1"
5,85,"PLCG2"
5,86,"CXCR3"
5,87,"ZNF831"
5,88,"HLA-DPA1"
5,89,"NLRC5"
5,90,"SOX12"
5,91,"ITGB2-AS1"
5,92,"PCED1B-AS1"
5,93,"TRAF3IP3"
5,94,"TK1"
5,95,"TRAT1"
5,96,"MEGF8"
5,97,"SP140"
5,98,"IGLV2-23"
5,99,"TRBC2"
5,100,"TAGAP"
